Area;Bairro;Condominio;IPTU;Quartos;Suites;Tipo;Tipo Agregado;Vagas;Valor;Valor m²
104;Barra da Tijuca;6552570.0;655.0;2;1;Apartamento;Apartamento;1;3800.0;36.54
78;Lins de Vasconcelos;519000.0;135.0;2;0;Apartamento;Apartamento;1;1200.0;15.38
200;Barra da Tijuca;2331.0;450625.0;3;3;Apartamento;Apartamento;3;5900.0;29.5
60;Leblon;480.0;151125.0;2;0;Apartamento;Apartamento;0;3500.0;58.33
115;Barra da Tijuca;129880.0;358.0;4;2;Apartamento;Apartamento;2;3900.0;33.91
36;Copacabana;440.0;66030.0;1;0;Apartamento;Apartamento;0;1600.0;44.44
65;Jardim Guanabara;50500.0;97.0;2;0;Apartamento;Apartamento;1;1600.0;24.62
55;Camorim;42927.0;5140.0;2;0;Apartamento;Apartamento;1;1500.0;27.27
122;Ipanema;35579.0;660.0;1;1;Apartamento;Apartamento;1;9000.0;73.77
50;Engenho Novo;43593.0;0.0;2;0;Apartamento;Apartamento;1;1000.0;20.0
160;Barra da Tijuca;2300.0;33470.0;4;1;Apartamento;Apartamento;3;5800.0;36.25
75;Jardim Carioca;34897.0;243.0;2;0;Apartamento;Apartamento;1;1800.0;24.0
388;Barra da Tijuca;4500.0;15000.0;4;4;Apartamento;Apartamento;3;9000.0;23.2
100;Copacabana;1200.0;25000.0;3;0;Apartamento;Apartamento;0;2200.0;22.0
420;Barra da Tijuca;3400.0;19000.0;4;2;Apartamento;Apartamento;3;5900.0;14.05
303;Barra da Tijuca;2277.0;16910.0;4;2;Apartamento;Apartamento;3;9000.0;29.7
145;Ipanema;14768.0;4394.0;3;1;Apartamento;Apartamento;1;8000.0;55.17
90;Jardim Botânico;950.0;22190.0;3;1;Apartamento;Apartamento;1;3900.0;43.33
240;Barra da Tijuca;5748.0;12070.0;3;1;Apartamento;Apartamento;2;8500.0;35.42
100;Copacabana;958.0;22210.0;3;0;Apartamento;Apartamento;1;3100.0;31.0
206;Recreio dos Bandeirantes;17724.0;5116.0;4;4;Apartamento;Apartamento;2;3000.0;14.56
216;Barra da Tijuca;3893.0;12000.0;4;2;Apartamento;Apartamento;4;9500.0;43.98
315;Barra da Tijuca;18134.0;1207.0;3;2;Apartamento;Apartamento;3;6000.0;19.05
201;Barra da Tijuca;2300.0;13500.0;3;1;Apartamento;Apartamento;2;9500.0;47.26
110;Barra da Tijuca;19597.0;587.0;2;1;Apartamento;Apartamento;2;4500.0;40.91
223;Leblon;3996.0;10935.0;2;2;Apartamento;Apartamento;2;9500.0;42.6
220;Humaitá;13006.0;1800.0;3;3;Apartamento;Apartamento;2;9600.0;43.64
117;Barra da Tijuca;17966.0;2765.0;3;1;Apartamento;Apartamento;2;3000.0;25.64
329;Barra da Tijuca;2000.0;11800.0;5;5;Apartamento;Apartamento;4;9500.0;28.88
291;Barra da Tijuca;4700.0;9000.0;4;4;Apartamento;Apartamento;3;9500.0;32.65
240;Barra da Tijuca;4877.0;9070.0;4;4;Apartamento;Apartamento;3;8990.0;37.46
297;Barra da Tijuca;3700.0;11290.0;4;1;Apartamento;Apartamento;2;7509.0;25.28
457;São Conrado;10500.0;2340.0;4;2;Apartamento;Apartamento;3;9500.0;20.79
630;Recreio dos Bandeirantes;1535.0;12785.0;4;3;Apartamento;Apartamento;6;7500.0;11.9
300;Barra da Tijuca;3323.0;11829.0;4;1;Apartamento;Apartamento;2;6500.0;21.67
175;Barra da Tijuca;3800.0;9850.0;3;3;Apartamento;Apartamento;3;8000.0;45.71
296;Barra da Tijuca;4500.0;8124.0;4;4;Apartamento;Apartamento;3;9000.0;30.41
400;São Conrado;10000.0;2100.0;5;2;Apartamento;Apartamento;3;9500.0;23.75
340;Barra da Tijuca;3547.0;10000.0;4;4;Apartamento;Apartamento;3;8000.0;23.53
348;Lagoa;3124.0;10400.0;4;1;Apartamento;Apartamento;2;8000.0;22.99
340;Barra da Tijuca;1700.0;10250.0;4;2;Apartamento;Apartamento;3;9500.0;27.94
200;São Conrado;3837.0;11600.0;4;2;Apartamento;Apartamento;3;5500.0;27.5
180;Barra da Tijuca;3840.0;8000.0;4;3;Apartamento;Apartamento;3;9000.0;50.0
192;São Conrado;3525.0;11662.0;4;2;Apartamento;Apartamento;3;5500.0;28.65
230;Lagoa;3124.0;9677.0;4;0;Apartamento;Apartamento;2;7500.0;32.61
270;Leblon;10000.0;1000.0;4;4;Apartamento;Apartamento;3;9000.0;33.33
400;São Conrado;10500.0;0.0;4;2;Apartamento;Apartamento;4;9500.0;23.75
300;Leblon;10000.0;1280.0;4;4;Apartamento;Apartamento;3;8500.0;28.33
233;Barra da Tijuca;4600.0;8167.0;4;2;Apartamento;Apartamento;3;7000.0;30.04
300;Barra da Tijuca;2000.0;10000.0;5;4;Apartamento;Apartamento;3;7350.0;24.5
460;São Conrado;9700.0;9.0;4;2;Apartamento;Apartamento;3;9500.0;20.65
140;Ipanema;2900.0;8632.0;3;1;Apartamento;Apartamento;1;7200.0;51.43
170;Barra da Tijuca;14784.0;557.0;3;1;Apartamento;Apartamento;2;3300.0;19.41
270;Copacabana;2477.0;7504.0;4;1;Apartamento;Apartamento;1;8500.0;31.48
360;Recreio dos Bandeirantes;750.0;9700.0;5;5;Apartamento;Apartamento;4;8000.0;22.22
230;Barra da Tijuca;3900.0;6518.0;3;3;Apartamento;Apartamento;3;8000.0;34.78
225;Barra da Tijuca;3200.0;8000.0;4;2;Apartamento;Apartamento;3;7000.0;31.11
80;Recreio dos Bandeirantes;850.0;15530.0;2;1;Apartamento;Apartamento;2;1600.0;20.0
360;São Conrado;9500.0;176.0;3;1;Apartamento;Apartamento;3;8000.0;22.22
120;Barra da Tijuca;3600.0;8000.0;2;1;Apartamento;Apartamento;1;6000.0;50.0
233;Barra da Tijuca;4100.0;6500.0;4;2;Apartamento;Apartamento;3;7000.0;30.04
260;Barra da Tijuca;3200.0;6400.0;4;4;Apartamento;Apartamento;3;8000.0;30.77
120;Barra da Tijuca;3600.0;8000.0;2;1;Apartamento;Apartamento;1;6000.0;50.0
82;Ipanema;3570.0;5992.0;2;2;Apartamento;Apartamento;2;8000.0;97.56
240;Copacabana;2500.0;6000.0;4;4;Apartamento;Apartamento;1;9000.0;37.5
250;Copacabana;2500.0;6000.0;4;4;Apartamento;Apartamento;1;9000.0;36.0
157;Barra da Tijuca;1960.0;8982.0;3;0;Apartamento;Apartamento;2;6500.0;41.4
97;Ipanema;4700.0;4725.0;2;1;Apartamento;Apartamento;1;8000.0;82.47
100;Copacabana;3895.0;4500.0;3;0;Apartamento;Apartamento;0;9000.0;90.0
327;Barra da Tijuca;2145.0;7720.0;3;1;Apartamento;Apartamento;3;7500.0;22.94
200;Lagoa;1815.0;7500.0;4;1;Apartamento;Apartamento;2;8000.0;40.0
201;Barra da Tijuca;3200.0;6840.0;3;1;Apartamento;Apartamento;2;7200.0;35.82
366;Copacabana;3000.0;7120.0;4;1;Apartamento;Apartamento;2;7000.0;19.13
214;Copacabana;1824.0;6083.0;3;1;Apartamento;Apartamento;1;9200.0;42.99
180;Barra da Tijuca;2400.0;6670.0;4;1;Apartamento;Apartamento;3;8000.0;44.44
233;Barra da Tijuca;3000.0;5063.0;4;4;Apartamento;Apartamento;3;9000.0;38.63
290;Copacabana;2032.0;7000.0;3;0;Apartamento;Apartamento;1;8000.0;27.59
244;Barra da Tijuca;3110.0;6900.0;4;2;Apartamento;Apartamento;3;7000.0;28.69
160;Barra da Tijuca;1960.0;8980.0;4;2;Apartamento;Apartamento;2;6000.0;37.5
174;Ipanema;2400.0;6000.0;3;2;Apartamento;Apartamento;1;8500.0;48.85
274;Copacabana;1746.0;7077.0;4;1;Apartamento;Apartamento;1;8000.0;29.2
500;Barra da Tijuca;750.0;9000.0;3;3;Apartamento;Apartamento;4;7000.0;14.0
165;Barra da Tijuca;1960.0;8982.0;4;2;Apartamento;Apartamento;2;5800.0;35.15
273;Copacabana;2032.0;6981.0;3;1;Apartamento;Apartamento;1;7500.0;27.47
440;Barra da Tijuca;6500.0;1500.0;4;4;Apartamento;Apartamento;3;8500.0;19.32
166;Barra da Tijuca;2200.0;6650.0;4;1;Apartamento;Apartamento;2;7500.0;45.18
160;Ipanema;3377.0;6245.0;3;1;Apartamento;Apartamento;1;6700.0;41.88
